Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Depth,Magnitude
2019,02,25,09,30,34,36.77,129.03,10,2.9
2019,02,25,09,39,57,36.77,129.04,11,0.9
2019,02,25,13,18,00,36.76,129.03,10,1.7
2019,11,22,03,57,30,36.77,129.04,9,1.3
2023,07,29,06,36,21,36.76,129.04,10,0.9
2023,08,07,04,17,59,36.77,129.04,8,1.1
2026,01,03,23,03,11,36.77,129.03,8,0.9
