Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Depth,Magnitude
2018,07,04,04,39,40,37.3,127.7,10,2.1
2018,07,04,05,20,03,37.29,127.71,10,1.9
2018,07,13,23,17,06,37.29,127.71,10,1.0
2019,04,14,17,37,25,37.3,127.71,10,0.7
2021,04,16,01,43,23,37.29,127.71,11,2.2
