Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Depth,Magnitude
2024,12,31,2,32,51,35.14,126.49,7,1.4
2025,1,1,7,13,7,35.14,126.50,6,0.9
2025,1,2,2,16,46,35.14,126.50,6,1.0
2025,1,2,4,15,55,35.14,126.50,6,1.2
2025,1,3,11,29,31,35.14,126.50,7,1.4
2025,1,4,1,16,59,35.14,126.50,6,1.3
2025,1,6,5,17,35,35.14,126.50,8,1.5
2025,1,10,19,44,58,35.14,126.49,5,1.5
