Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Magnitude,Depth
2018,2,25,6,16,37,36.51,128.11,1.4,12
2019,7,21,11,4,18,36.5,128.1,3.9,14
2019,7,21,11,10,52,36.5,128.1,1.5,14
2019,7,22,11,1,33,36.5,128.1,1.9,15
2019,7,24,19,39,29,36.5,128.1,1.1,14
2022,7,7,4,42,38,36.5,128.09,1.4,15
