Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Depth,Magnitude
2014,10,10,21,19,16,35.33,128.50,10,1.6
2016,11,3,23,35,52,35.32,128.49,16,2.6
2016,11,6,7,19,55,35.33,128.50,13,1.6
2021,3,26,16,37,46,35.31,128.49,7,1.0
2021,8,29,13,3,23,35.31,128.49,9,2.2
2024,6,16,1,53,8,35.30,128.47,5,1.1
