Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Magnitude,Depth
2013,6,8,5,56,59,35.14,126.96,3.2,17
2013,6,9,5,47,32,35.14,126.96,1.2,17
2013,6,12,3,28,16,35.13,126.97,1.1,18
2013,6,22,19,56,55,35.14,126.96,1.3,17
2013,6,23,3,22,3,35.14,126.96,1.9,17
2013,6,23,6,37,43,35.14,126.96,0.9,17
2013,6,24,2,18,23,35.14,126.96,0.4,16
2017,12,23,5,33,44,35.12,126.96,1.8,5
2017,12,23,5,41,58,35.11,126.96,1.5,6
2024,7,2,16,57,3,35.11,126.96,1.5,6
2024,8,15,18,43,48,35.14,126.96,1.0,15
